File_Name	Description	Category	Status	Parent_Core
.pre_commit_config.yaml	pre-commit settings, code linting, git hooks, code quality, auto-check, static analysis, repo hygiene, pre-commit rules	reference	Reference	
acpa_catalog_table.tsv	vehicles, cars, motorcycles, AVs, trucks, bikes, rides, chases, combat vehicles, ACPA, mechs, mods, upgrades, transport, wheels, rides, getaway, armored vehicle, hovercar, chase rules, acpa catalog table	vehicle_core	Canon	vehicle_core
acpa_sensors_table.tsv	vehicles, cars, motorcycles, AVs, trucks, bikes, rides, chases, combat vehicles, ACPA, mechs, mods, upgrades, transport, wheels, rides, getaway, armored vehicle, hovercar, chase rules, acpa sensors table	vehicle_core	Canon	vehicle_core
acpa_table.tsv	vehicles, cars, motorcycles, AVs, trucks, bikes, rides, chases, combat vehicles, ACPA, mechs, mods, upgrades, transport, wheels, rides, getaway, armored vehicle, hovercar, chase rules, acpa table	vehicle_core	Canon	vehicle_core
ai_tools_table.tsv	plugins, macros, scripts, API, integration, extensions, add-ons, external tools, VTT, automation, mod, custom features, external integration, macro scripts, plugin tools, ai tools table	plugins_core	Canon	plugins_core
ammo_table.tsv	weapons, guns, firearms, ranged weapons, melee weapons, explosives, pistols, rifles, SMGs, shotguns, heavy weapons, grenades, ordnance, ammo, blades, bows, clubs, shooters, armament, pew-pew, firepower, weapon mods, gunplay, ammo table	weapons_core	Canon	weapons_core
armor_table.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, armor table	gear_core	Canon	gear_core
art_assets_table.tsv	assets, maps, art, soundtrack, handouts, VTT modules, props, visuals, sound, music, prop library, resources, visuals, handouts, module, tokens, background art, player aids, media, asset, map, art, handout, prop, VTT module, token, soundtrack, music, visual, resource, media, player aid, module, visual, background art, prop library, art assets table	assets_core	Canon	assets_core
assets_core.tsv	assets, maps, art, soundtrack, handouts, VTT modules, props, visuals, sound, music, prop library, resources, visuals, handouts, module, tokens, background art, player aids, media, asset, map, art, handout, prop, VTT module, token, soundtrack, music, visual, resource, media, player aid, module, visual, background art, prop library, assets core	assets_core	Root	
black_market_table.tsv	services, clinics, ripperdocs, black market, fixers, medtech, surgery, providers, street docs, medical, healing, bribery, employment, hire, mercenaries, bribes, gigs, street services, underworld, favors, insurance, trauma team, aftercare, black market table	services_core	Canon	services_core
bootloader.md	boot instructions, system boot, startup guide, initialization, launch process, load sequence, getting started, cold start, reboot	reference	Reference	
campaign_manifest.tsv	campaigns, story arcs, scenarios, adventures, plotlines, campaign notes, timeline, saga, long-term play, missions, campaigns manifest, play session, session notes, player handouts, arcs, epic, plot, campaign, story arc, adventure, timeline, notes, plotline, session, player handout, story, mission, epic, saga, campaign board, play session, quest, campaign manifest	campaigns_core	Canon	campaigns_core
campaign_notes.tsv	campaigns, story arcs, scenarios, adventures, plotlines, campaign notes, timeline, saga, long-term play, missions, campaigns manifest, play session, session notes, player handouts, arcs, epic, plot, campaign, story arc, adventure, timeline, notes, plotline, session, player handout, story, mission, epic, saga, campaign board, play session, quest, campaign notes	campaigns_core	Canon	campaigns_core
campaigns_core.tsv	campaigns, story arcs, scenarios, adventures, plotlines, campaign notes, timeline, saga, long-term play, missions, campaigns manifest, play session, session notes, player handouts, arcs, epic, plot, campaign, story arc, adventure, timeline, notes, plotline, session, player handout, story, mission, epic, saga, campaign board, play session, quest, campaigns core	campaigns_core	Root	
city_event_generator.tsv	encounters, events, story hooks, jobs, missions, random events, complications, story seeds, scenario, gigs, happenings, meetups, situations, street action, adventure hooks, jobs board, quest, run, plot twist, distractions, city event generator	encounters_core	Canon	encounters_core
clothing_and_wearables_table.tsv	gear, equipment, items, tools, cyberware, armor, gadgets, supplies, tech, personal gear, cyberpets, utility items, medical supplies, novelty items, wearables, upgrades, enhancements, loot, swag, chrome, junk, mods, loot, loadout, inventory, street gear, clothing and wearables table	gear_core	Canon	gear_core
combat_resolution.py	combat resolution, damage calculator, attack outcome, hit/miss engine, battle results, wound logic, battle results processor	system	Reference	
combat_tracker.py	combat tracker, initiative manager, battle tracker, fight rounds, encounter manager, turn order, auto combat, fight automation	system	Reference	
