Sensor Name	Detection Type	Range (meters)	Power Consumption	Cost (eb)	Availability	Vs Stat/Check	DV	Special Notes	Source
Lowlight Optic	Visual	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Image enhancement linked to expert system, antidazzle, targeting scope	Maximum-Metal.pdf p.67, Chromebook 3-4, Cyberpunk 2020 Core p.77
Thermographic Imager	Thermal/Visual	10 (through walls)	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Negates darkness, +5 to detect 125°C+ targets, see through walls at 10m, image enhancement, antidazzle, targeting scope	Maximum-Metal.pdf p.67, Chromebook 3-4
Telescoptics	Visual	-1 Awareness per 800m	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Extreme range, image enhancement, antidazzle, targeting scope	Maximum-Metal.pdf p.271, Chromebook 3-4
Infra-Red Sensor	Infrared (visual)	[TBD]	[TBD]	1000 (passive), 1500 (active)	C (active)	[TBD]	[TBD]	Active includes IR spotlight/headlights, passive as Thermograph -3	Maximum-Metal.pdf p.67, p.19, Chromebook 3-4, Core p.77
Times Square Plus HUD	Visual/Info Overlay	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Heads-up display, antidazzle	Chromebook 1 p.38, Chromebook 3-4
Video Cam/Transmitter	Visual (broadcast)	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Broadcasts on radio, audio also transmittable	Chromebook 1 p.39, Chromebook 3-4
Video Imager/Receiver	Visual/Audio	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Receives audio, image enhancement, lowlight	Chromebook 1 p.39, Chromebook 3-4
Microoptics	Visual (close detail)	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Image enhancement, antidazzle, lowlight, expert system	Chromebook 3-4, Core p.77
Acoustic Alarm System	Audio	[TBD]	[TBD]	[TBD]	[TBD]	Audio Awareness	[TBD]	Sound editor, level damper, amplified/enhanced hearing, +1 to audio Awareness	Chromebook 3-4, Maximum-Metal.pdf p.67
Military Radio	Comm/Electronic	500,000 (500 km)	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Band-jumping, IFF, scrambler, burst transmission	Chromebook 3-4, Maximum-Metal.pdf p.67
Parabolic Microphone	Audio	Normal at extreme range	[TBD]	[TBD]	[TBD]	Awareness	[TBD]	-1 Awareness per 800m, audio pickup	Chromebook 3-4
Tight Beam Laser Communications	Comm (line-of-sight)	Line-of-sight	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Shoulder sensor boom mount	Chromebook 3-4
Cellular Phone	Comm	20,000 (20 km)	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Advanced, scrambler	Maximum-Metal.pdf p.67, Chromebook 3-4
Satellite Uplink	Comm/Electronic	Realtime orbital	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Back/torso antenna array	Maximum-Metal.pdf p.67, Chromebook 3-4
RaserTM Scanner	Visual/Color Silhouette	[TBD]	[TBD]	[TBD]	[TBD]	Awareness	[TBD]	Eliminates camouflage modifiers, +2 Awareness, 1 torso space	Maximum-Metal.pdf p.68, Chromebook 3-4
AN Recorder	Audio/Visual	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	6 hours audio/video per chip, 2 chips at once, 1 R. leg space	Maximum-Metal.pdf p.68, Chromebook 3-4
Olfactory Booster/Chem Analyzer	Smell/Chemical	[TBD]	[TBD]	[TBD]	[TBD]	Awareness/Shadow-Track	[TBD]	+1 smell Awareness, 50% chance +2 Shadow/Track, 0 spaces	Maximum-Metal.pdf p.68, Chromebook 3-4
Radiation Detector	Radiation	10	[TBD]	[TBD]	[TBD]	[TBD]	[TBD]	Built into right shoulder, 0 space	Maximum-Metal.pdf p.68, Chromebook 3-4
