Job Type	Division/Unit	Target/Main Faction	Main Task	Complication	Reward	Resist/Check
Sting Operation	Narcotics/Undercover	Drug syndicate	Infiltrate and bust dealers	Dealers are wired, rival gang hits back	Reputation, promotion, asset	COOL vs. 13 to maintain cover; Fixer: reroll
Crime Scene Cleanup	Forensics	Trauma Team/Medtech	Secure evidence, avoid contamination	Biohazard leak, media presence	Merit, lab bonus, favor	TECH vs. 13 to sanitize; Medtech: reroll
Hostage Negotiation	PsyOps/Negotiator	Gang, disgruntled corp	Free hostages, avoid violence	Sniper, inside mole, demands	Reputation, hazard pay, commendation	EMP vs. 14 to de-escalate; Rockerboy: reroll
Undercover Surveillance	Vice/Patrol	Corpo, fixer, media	Shadow target for info	Target spots tail, fixer’s rival intervenes	Info, promotion, gear	COOL vs. 13 to avoid exposure; Fixer: reroll
Pursuit/Chase	Traffic/Chase	Nomad gang, getaway crew	Stop or disable fleeing vehicle	Roadblock, civilians, AV drones	Credits, new AV, commendation	REF vs. 14 to keep up; Nomad: reroll
Raid/Assault	SWAT/MaxTac	Maelstrom, gang stronghold	Apprehend leader, secure site	Building is booby-trapped, backup delayed	Gear, commendation, street rep	BODY vs. 14 to break in; Solo: reroll
Internal Affairs Probe	IA/Command	NCPD officer	Expose corruption, survive backlash	Targeted by police union, fake evidence	Promotion, merit, hazard pay	COOL vs. 14 to resist pressure; Fixer: reroll
Riot Control	Public Order	Crowd, street protest	Restore order, minimize harm	Instigator, media coverage, property loss	Reputation, gear, commendation	COOL vs. 13 to avoid escalation; Solo: reroll
Evidence Recovery	Forensics/CSI	Corporate, fixer, gang	Retrieve or destroy evidence	Evidence is digital and physical, ICE on site	Gear, legal favor, bonus	TECH vs. 14 to bypass ICE; Netrunner: reroll
Stakeout	Detectives/Narcotics	Dealer, fixer, hitman	Wait and watch, ID suspects	PCs targeted by rival stakeout, loss of sleep	Credits, info, merit	COOL vs. 12 to stay alert; Fixer: reroll
Cyberpsychosis Sweep	PsyOps/MaxTac	Cybered solo/ganger	Apprehend or neutralize threat	Threat is family/friend, media on scene	Cash, hazard pay, trauma team link	EMP vs. 13 to avoid trauma; Medtech: reroll
Job Type	Unit/Division	Target	Main Task	Complication	Reward/Outcome	Resist/Check
Warrant Service	Patrol	Gang hideout	Serve warrant, secure suspect	Suspect is armed, rival gang arrives	Pay, promotion, gear	COOL vs. 13 to avoid escalation; Solo: reroll
