Source	Pet	Type	Abilities	Cost	Quirk
Chromebook 2	RavenBot	Drone	Surveillance, audio tap	2000eb	Noisy, can’t fly in rain
Chromebook 3+4	PantherSynth	Biopet	Combat, intimidation	8000eb	Must be fed raw meat
Chromebook 1	RatSpy	Drone	Stealth, data courier	900eb	Short battery life
Chromebook 1	GuardSnake	Robopet	Shock attack	1200eb	Prone to false alarms
Chromebook 3+4	HowlerMonkey	Biopet	Noise distraction, climbing	6500eb	Screams if left alone
Chromebook 2	Dogbot	Robopet	Patrol, alarm, attack	3500eb	May chase vehicles
Wildside	Ferrocat	Drone	Metal detection, bomb sniff	4200eb	Freaks out near magnets
Chromebook 2	ParrotCompanion	Drone	Mimic voice, simple fetch	2100eb	Randomly swears
Black Market (Wildside)	SewerAlligator	Bio/Robopet	Swimming, attack	11000eb	Illegal in most cities
Chromebook 3+4	Medibee NanoSwarm	Drone	Medical scan, antitoxin	3000eb	Malfunctions in cold
Chromebook 3+4	Spyroach	Drone	Mini-surveillance, data bug	500eb	Can be stepped on
Chromebook 2	KillrCanary	Robopet	Toxin detection, alarm	1000eb	Escapes cages
Chromebook 1	PitbullPlus	Bio/Robopet	Guard, scent tracking	5000eb	Drools black oil
Wildside	PetDrone Fox	Drone	Camouflage, emotional support	4000eb	Imitates other animals
