Event	Type/Trigger	Effect	Complication	Resist/Check
Power Surge	Tech/Weird	Device glitch or malfunction	Data loss, explosion	TECH vs. 13 to fix; Techie: reroll, Netrunner: +1 to recover data
Sudden Blackout	Event/Threat	Visibility loss, crime spike	Theft, ambush	COOL vs. 12 to stay calm; Solo: reroll, Nomad: +1 to escape
Lost Item	Misfortune	Resource missing, blamed	Faction/ally loss	INT vs. 12 to track; Fixer: reroll, Netrunner: +1 to search
Unexpected Ally	Chance/Opportunity	Temporary bonus contact	Betrayal, trap	EMP vs. 13 to sense motive; Fixer: reroll, Nomad: +1
Trap Encounter	Hazard/Combat	Damage, loss, or stun	Alarm triggered, enemies	REF vs. 14 to dodge; Solo: reroll, Techie: +1 to disarm
Weird Broadcast	Net/Weird	Cryptic message, clue	ICE trace, paranoia	INT vs. 13 to decode; Netrunner: reroll, Techie: +1
Secret Drop	Event/Resource	Gain gear or info	Monitored, theft	COOL vs. 13 to avoid suspicion; Fixer: reroll, Nomad: +1
Illegal Street Race	Pursuit/Drama	Gain creds, rep, or heat	Crash, ambush, arrest	REF vs. 15 to win; Nomad: reroll, Solo: +1
Freak Weather	Event/Environment	Obscures vision, stuns gear	Travel delay, injury	BODY vs. 13 to endure; Medtech: reroll, Nomad: +2
Psychic Shock	Weird/Trauma	Lose 1d6 EMP or skill points	Paranoia, flaw	EMP vs. 14 to resist; Medtech: therapy reroll, Netrunner: +1
Media Frenzy	Social	Reputation up or down	Public scrutiny, rumor	COOL vs. 13 to handle; Rockerboy: reroll, Fixer: +1 to spin
