Region/Setting	Economic Factor/Item	Price/Rate	Availability	Major Export/Import	Faction/Corp Involved	Vs Stat/Check	DV	Special Notes	Source
Urban (All)	Maximum unreported cash deposit	5,000 eb (limit)	Legal	[TBD]	All banks, fixers	COOL, Streetwise	[TBD]	Over 100,000 eb is a Priority 3 felony; money laundering is rare	 [oai_citation:0‡Cyberpunk-2020-Wild-Side.pdf](file-service://file-1ZADumZvmpKYRqpWxZMBTm)
Urban (All)	Barter trade value	Based on market value, minus 3–10% transaction fee	Barter house, black market	Varies (ammo, pharmaceuticals, cyberdecks, etc.)	Fixers, traders, corps	Streetwise, Trading	[TBD]	Underground barter houses use code phrases, pseudonyms, run by “Traders”; legal and illegal trade both occur	 [oai_citation:1‡Cyberpunk-2020-Wild-Side.pdf](file-service://file-1ZADumZvmpKYRqpWxZMBTm)
Urban (All)	Agoras gold exchange	Gold only (official cash unusable), price set daily by market	Black market/Agora only	Any valuable goods (explosives, memory, meat, cybernetics, etc.)	Agoras, fixers, some corps	Streetwise, COOL (negotiation)	[TBD]	Gold is not legal tender, all purchases are barter in gold; corps sometimes sell in Agoras for speed/profit	 [oai_citation:2‡Cyberpunk-2020-Wild-Side.pdf](file-service://file-C7pii51TXZSz9XBkhGaV1Q)
Urban (All)	Corporate scrip (CorpScrip)	Varies; discount for using in parent corp	Legal only in corp/affiliate businesses	Company goods, services, some inter-corp trade	All major megacorps	INT, Streetwise (scrip exchange)	[TBD]	Accepted only by parent corp/subsidiaries; inter-corp rate is poor, sometimes accepted by rivals at a loss	 [oai_citation:3‡Cyberpunk-2020-Wild-Side.pdf](file-service://file-1ZADumZvmpKYRqpWxZMBTm)
Urban (All)	Cash vs. electronic funds	Same face value, but cash is less traceable	Legal (but less favored by corps)	[TBD]	All banks, fixers, businesses	COOL, Streetwise	[TBD]	Most fixers prefer cash for anonymity, but cash is harder to spend in large amounts without suspicion	 [oai_citation:4‡Cyberpunk-2020-Wild-Side.pdf](file-service://file-1ZADumZvmpKYRqpWxZMBTm)
Urban/Street	Labor rate for repair	100–150% of parts cost for skilled labor	Legal/black market	[TBD]	Techies, repair shops	TECH, Streetwise	Varies by job	Cheap techs are always backlogged; parts rarely proprietary, labor price negotiable	 [oai_citation:5‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-VNsnXWnMmLgKp34JERCrkh)
All regions	Parts cost: minor malfunction (repair)	5–30% of item cost (simple), 3–30% (complex)	Legal	[TBD]	Techies, businesses	TECH	[TBD]	Minor repair, 30% performance lost; see repair tables	 [oai_citation:6‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
All regions	Parts cost: major malfunction (repair)	10–60% of item cost (simple), 5–50% (complex)	Legal	[TBD]	Techies, businesses	TECH	[TBD]	Major repair, 60% performance lost; see repair tables	 [oai_citation:7‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
All regions	Parts cost: catastrophic failure (repair)	30–180% of item cost (simple), 10–100% (complex)	Legal	[TBD]	Techies, businesses	TECH	[TBD]	Item ceases function, can cost more than replacement	 [oai_citation:8‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
All regions	Routine annual maintenance cost	10% of item cost (simple or complex)	Legal	[TBD]	Techies, businesses	TECH	[TBD]	Annual parts only, does not include labor cost	 [oai_citation:9‡Cyberpunk-2020-CP3511-Chromebook-3-4-Official.pdf](file-service://file-1zcemsVMpPsBXG5hEWUZ97)
Midwestern States	Produce destruction contract	Paid to destroy crops (black/gray market)	Illegal/gray market	Destruction of food surplus	Midwestern farmers, black market	Streetwise, INT (for fraud)	[TBD]	Surplus intentionally destroyed to manipulate market, some done for corp payoffs	 [oai_citation:10‡Cyberpunk-2020-Wild-Side.pdf](file-service://file-C7pii51TXZSz9XBkhGaV1Q)
Iowa (Silo City)	Agricultural produce	bulk sale direct to public, avoids corporate markup	State-run coop (legal), black market also active	Agricultural goods (grain, meat, produce)	State of Iowa, farmers	INT (negotiation)	[TBD]	State functions as clearinghouse, “everyone knows someone”; barter network thriving	 [oai_citation:11‡Cyberpunk-2020-CP3221-Home-of-the-Brave-pdf.pdf](file-service://file-BD6TS1rKBLdN59Pf5Nd5m6)
Minnesota	Outdoor recreation access (corporate annex)	Restricted/expensive due to corporate control	Legal only in corporate lands	Outdoor vacations, leased land	Regional agricorps, urbanites	COOL (negotiation), Streetwise	[TBD]	Corp control of land locks out urban poor, creates social tension	 [oai_citation:12‡Cyberpunk-2020-CP3221-Home-of-the-Brave-pdf.pdf](file-service://file-BD6TS1rKBLdN59Pf5Nd5m6)
All regions	Black/gray market share of GNP	30% of economy	Illegal or gray	Weapons, drugs, software, cybernetics, food, body parts, etc.	Major corps, fixers, local manufacturers	Streetwise, INT (for tech goods)	[TBD]	Corporations dominate supply/distribution, but street-level manufacture growing	 [oai_citation:13‡Cyberpunk-2020-CP3221-Home-of-the-Brave-pdf.pdf](file-service://file-BD6TS1rKBLdN59Pf5Nd5m6)
All regions	Manufacturing: custom goods (CAD/CAM)	Any price, usually equivalent to street or market price	Legal, black market	Weapons, cyber, tools, etc.	Edgerunners, local “newtechs”	TECH (custom), INT (design)	[TBD]	Custom design takes hours (vs. weeks), best gear is locally made, not always traceable	 [oai_citation:14‡Cyberpunk-2020-CP3221-Home-of-the-Brave-pdf.pdf](file-service://file-BD6TS1rKBLdN59Pf5Nd5m6)
