Service Name	Service Type	Description	Standard Price (eb)	Duration/Turnaround	Provider	Legality	Key Risks/Complications	Stat/Skill Check	Special Notes	Source
Standard Surgery	Medical	Basic, non-cybernetic surgery (trauma, bullet wounds, etc.)	500	2–6 hours	Street Doc	Legal/Gray	Infection, botch, malpractice	TECH vs 15	Extra cost for severe trauma; may require supplies	cyberpunk2020_corebook.pdf/94
Cyberware Installation	Installation	Installation of cybernetic limb or implant (per limb/item)	1000–3000	6–24 hours	Ripperdoc	Black Market/Gray	Botch chance, loyalty, police attention	TECH vs 18	Some cyberware requires additional checks; price varies by ware type	cyberpunk2020_corebook.pdf/97
Bodybank Organs	Medical	Replacement organs from bodybanks (per organ)	1000–5000	1–3 days	Street Doc/Bodybank	Black Market	Quality varies, infection, organ rejection	EMP vs 13	Availability depends on bodybank access	cyberpunk2020_corebook.pdf/95
Full Trauma Team Contract	Medical/Protection	Emergency paramedical response and extraction insurance (per year)	5000/year	Immediate on call	Trauma Team	Legal	Nonpayment, refusal of service in combat zone	[TBD]	May require annual check-in	cyberpunk2020_corebook.pdf/96
Thermograph Scan	Medical	Basic body scan for cyberware, weapons, drugs, etc.	50	10 minutes	Clinic/Street Doc	Legal/Gray	False positives	[TBD]	May require bribe for street use	Chromebook 1 p.20
Neuralware Installation	Installation	Installation of neural interface or enhancement chip	4000–8000	12–48 hours	Ripperdoc	Black Market	Botch chance, rejection, memory loss	TECH vs 19	Psychological evaluation recommended	corebook.pdf/98
Braindance Recording	Session	Data capture of personal experiences, emotion and sensory overlay	200–1000	1 hour	Media Studio	Legal/Gray	Privacy breach, editing risks	TECH vs 15	Professional studios have higher quality	Chromebook 1 p.36
Black Clinic Cyberware Surgery	Special Medical	Untraceable cyberware surgery, illicit modifications	3000–15000	24–72 hours	Black Clinic	Black Market	Police raids, botch, infection	TECH vs 20	May include illegal enhancements	Wildside p. 50
Cyberpsychosis Treatment	Medical	Treatment and therapy for cyberpsychosis symptoms	1500–5000	Variable	Medtech/Hospital	Legal	Relapse, personality change	COOL vs 17	Treatment may be ineffective	Corebook p. 99
Underworld Contact Fix	Broker/Information	Find a specific NPC, broker or fence a deal	100–1000	1–24 hours	Fixer	Gray/Black Market	Police sting, betrayal, loyalty required	Streetwise vs 15	Price varies by difficulty, urgency	Wildside p. 17
Disposal of Evidence	Black Clinic/Criminal	Destroy or hide illegal evidence	500–3000	6–24 hours	Fixer/Black Clinic	Black Market	Police pursuit, risk of double-cross	[TBD]	May require extra bribes	Wildside p. 57
Fake SIN/Bio-ID Creation	Broker/Legal	Forged identity documents (standard quality)	5000	3 days	Fixer/Forger	Black Market	Police check, random validation	INT vs 15	Higher price for more sophisticated fakes	Wildside p. 62
Weapons Smuggling	Transport/Black Market	Smuggle restricted weapons or gear in/out of city	200–5000	12–48 hours	Fixer/Smuggler	Black Market	Loss of cargo, ambush, law enforcement	Streetwise vs 18	Larger shipments increase risk	Wildside p. 58, Chromebook 2 p.60
Bodyguard Service (Solo)	Protection	Basic bodyguard, single day	200–500/day	12–24 hours	Solo/Agency	Legal/Gray	Betrayal, botch, inside job	COOL vs 13	Multiple Solos for high-profile targets	cyberpunk2020_corebook.pdf/101
