Modification Name	Compatible Deck Models	Description	Effect/Benefit	Installation Requirements	Cost	Availability	Special Notes	Source
Increased RAM Module	All VR Decks	Upgrades RAM for faster data processing	Increases processing speed and multitasking capability	TECH vs 16	4,000 eb	Common	Consumes additional power; heat generation	Core Rulebook p.103
Stealth Module	All VR Decks	Enhances netrunner stealth in cyberspace	Reduces detection chance by ICE and other netrunners	TECH vs 18	7,500 eb	Rare	Increased power draw; may cause system instability	Chromebook 1 p.45
Fast-Response Processor	All VR Decks	Processor upgrade to reduce latency	Improves reaction time in netrunning actions	TECH vs 17	6,000 eb	Common	Requires compatible motherboard	Core Rulebook p.104
Firewall Booster	All VR Decks	Improves deck's defensive capabilities	Strengthens firewall; increases resistance to hacking	TECH vs 19	8,000 eb	Rare	Uses extra power; slows non-defense tasks	Chromebook 2 p.32
Encrypted Comms Module	All VR Decks	Provides secure communications with encryption	Prevents interception and tracking by enemies	TECH vs 16	3,500 eb	Common	Requires compatible comm system	Chromebook 1 p.48
Virtuality Enhancer	All VR Decks	Improves immersion and sensory feedback	Increases virtuality rating; improves user experience	TECH vs 15	5,000 eb	Common	Can cause sensory overload in some users	Core Rulebook p.105
Quickjack Upgrade	All VR Decks	Reduces time to jack into the net	Decreases jack-in/jack-out time by 50%	TECH vs 18	6,500 eb	Rare	Requires specialized hardware	Chromebook 2 p.34
Data Stream Accelerator	All VR Decks	Improves data transfer rates	Increases upload/download speed in cyberspace	TECH vs 17	5,500 eb	Common	Heat generation; requires cooling	Chromebook 1 p.50
Signal Cloak	All VR Decks	Minimizes netrunner's signal footprint	Reduces trace and signal detection by authorities	TECH vs 20	9,000 eb	Black Market	High power consumption; limited duration	Chromebook 3 p.44
Neural Feedback Dampener	All VR Decks	Reduces neural feedback intensity	Decreases chance of cyberpsychosis symptoms during netrunning	TECH vs 19	7,000 eb	Rare	May reduce immersion quality	CyberGeneration p.77
Auxiliary Power Supply	All VR Decks	Provides additional power reserves	Supports high-power mods and prolonged use	TECH vs 16	4,500 eb	Common	Increases deck weight and heat output	Core Rulebook p.106
Signal Booster	All VR Decks	Extends wireless range and signal strength	Increases effective connection range	TECH vs 15	3,800 eb	Common	Can increase detection risk	Chromebook 2 p.35
