Category	Weapon	Type	Damage	Ammo	RoF	Range (m)	Cost (eb)	Weight (kg)	Reliability	Availability	Concealability	Skill Used	Vs Stat/Check	DV	Special Notes	Source
Handgun	Beretta 93R	Pistol	1d6+1	20	3	50	200	1.1	Reliable	Common	Jacket	Handgun	REF + Handgun vs. DV	12	3-round burst, common upgrade to Beretta 92	Blackhand’s
Handgun	Colt AMT 2000	Pistol	2d6	12	1	50	350	1.2	Standard	Common	Jacket	Handgun	REF + Handgun vs. DV	13	Powerful, standard corp sidearm	Core Rulebook
Handgun	Glock 17	Pistol	1d6+1	17	2	50	250	1.0	Standard	Common	Jacket	Handgun	REF vs. DV	12	Polymer build, high reliability	Blackhand’s
Handgun	Dai Lung Streetmaster	Pistol	1d6	16	2	50	80	1.1	Low	Very Common	Pocket	Handgun	REF vs. DV	10	Cheap gang favorite, misfires on 1–2	Blackhand’s
Handgun	Armalite USA .44	Pistol	2d6+1	8	1	25	600	1.6	High	Uncommon	Jacket	Handgun	REF vs. DV	14	High-stopping power, heavy recoil	Chromebook 2
Handgun	Towa Colt Nova	Pistol	2d6	10	1	35	700	1.4	Standard	Common	Jacket	Handgun	REF vs. DV	13	Sleek, lightweight variant	Blackhand’s
Handgun	Tsunami Arms “Type 54”	Pistol	2d6	13	2	40	950	1.5	High	Rare	Jacket	Handgun	REF + Handgun vs. DV	14	Military-issue knockoff, chrome	Chromebook 3
Handgun	CZ-75 Compact	Pistol	1d6+1	14	2	50	300	1.1	High	Common	Pocket	Handgun	REF vs. DV	12	Compact, easily concealed	Blackhand’s
Handgun	Sternmeyer Type 35	Pistol	1d6	10	2	25	120	1.3	Low	Common	Pocket	Handgun	REF vs. DV	10	Lightweight, EuroZone export	Blackhand’s
Handgun	Nomad Reclaimer .357	Pistol	2d6+1	6	1	30	450	1.5	Medium	Uncommon	Jacket	Handgun	REF vs. DV	14	Custom-built revolver, used by nomads	Core Rulebook
Handgun	FN Five-seveN	Pistol	1d6	20	2	75	600	1.0	High	Common	Jacket	Handgun	REF vs. DV	11	Armor-piercing round compatibility	Chromebook 2
Handgun	Auto-9 (Robocop Special)	Pistol	3d6	30	3	75	1200	2.5	High	Unique	Jacket	Handgun	REF + Handgun vs. DV	16	Cinematic use only, bursts and cinematic recoil	Custom/Homebrew
SMG	Heckler & Koch MP5A3	SMG	2d6	30	3	150	500	2.5	Reliable	Common	Jacket	SMG	REF + SMG vs. DV	12	Classic design, used by corpos and spec ops	Core Rulebook
SMG	Ingram MAC-10	SMG	2d6	30	5	100	350	2.0	Standard	Common	Jacket	SMG	REF vs. DV	10	Loud, spray-heavy, street favorite	Blackhand’s
SMG	Arasaka Minismg 10	SMG	2d6	25	3	100	800	2.2	High	Rare	Jacket	SMG	REF + SMG vs. DV	13	Lightweight, preferred by security forces	Chromebook 2
SMG	Tsunami Arms “Derringer-SMG”	SMG	1d6	10	2	75	600	1.5	Medium	Uncommon	Pocket	SMG	REF vs. DV	11	Subcompact conceal SMG	Chromebook 3
SMG	G-20 Caseless	SMG	2d6	30	3	200	300	2.3	High	Common	Jacket	SMG	REF + SMG vs. DV	12	Standard issue, smartgun link optional	Blackhand’s
SMG	Nomad SMG-11	SMG	1d6+1	28	4	90	280	1.8	Low	Uncommon	Jacket	SMG	REF vs. DV	10	Often rigged for full auto by scavvers	Core Rulebook
SMG	Sternmeyer Viper	SMG	2d6	20	2	150	750	2.0	High	Uncommon	Shoulder	SMG	REF + SMG vs. DV	13	Elite Eurocorp weapon, limited spread	Blackhand’s
SMG	Uzi-9mm	SMG	2d6	32	4	120	300	2.1	Standard	Common	Jacket	SMG	REF vs. DV	11	Widely available, durable and overclocked	Core Rulebook
Rifle	AK-47	Rifle	2d6	30	3	350	300	4.0	Standard	Common	Shoulder	Rifle	REF + Rifle vs. DV	12	Durable, widely available, mod-friendly	Blackhand’s
Rifle	Armalite AR-7	Rifle	2d6	30	3	400	1200	3.5	Standard	Common	Shoulder	Rifle	REF + Rifle vs. DV	13	Standard issue, versatile platform	Blackhand’s
Rifle	M16A2	Rifle	2d6+1	30	3	400	500	3.5	Reliable	Common	Shoulder	Rifle	REF + Rifle vs. DV	13	Military burst fire rifle	Core Rulebook
Rifle	Remington 700	Rifle	5d6	5	1	600	1500	4.0	Reliable	Uncommon	Shoulder	Precision Rifle	REF + Precision Rifle vs. DV	14	Bolt action, sniper config	Maximum Metal
Rifle	FN FAL	Rifle	2d6+1	20	2	400	1000	4.2	Standard	Common	Shoulder	Rifle	REF + Rifle vs. DV	13	Semi-auto battle rifle	Blackhand’s
Rifle	Gepard Anti-Material	Rifle	7d6	5	1	800	3500	9.0	Special	Rare	Shoulder	Rifle	BODY ≥ 10 & REF + Rifle vs. DV	18	High recoil, penetrates vehicles	Maximum Metal
Rifle	Nomad Carbine 5.56	Rifle	2d6	25	3	250	400	3.2	Standard	Common	Shoulder	Rifle	REF + Rifle vs. DV	12	Common among vehicle convoys	Core Rulebook
Rifle	Tsunami Arms “TAR-21”	Rifle	2d6+2	30	3	450	1500	3.6	High	Rare	Shoulder	Rifle	REF + Rifle vs. DV	14	Bullpup, advanced optics	Chromebook 3
Rifle	Ruger Mini-14	Rifle	2d6	20	2	300	750	3.0	Standard	Common	Shoulder	Rifle	REF vs. DV	12	Civilian config, simple mods	Blackhand’s
Shotgun	Remington 870	Shotgun	6d6	8	1/3	50	800	3.8	Reliable	Common	Shoulder	Shotgun	REF + Shotgun vs. DV	12	Pump action, common law enforcement model	Core Rulebook
Shotgun	Benelli M4	Shotgun	7d6	7	1/2	50	1200	3.2	Reliable	Uncommon	Shoulder	Shotgun	REF vs. DV	13	Semi-auto, rapid fire capable	Blackhand’s
Shotgun	Mossberg CMDT	Shotgun	5d6	6	1	30	400	3.6	Standard	Common	Shoulder	Shotgun	REF vs. DV	11	Short-barrel, close quarters	Blackhand’s
Shotgun	SPAS-12	Shotgun	6d6	8	1/3	40	900	4.0	High	Uncommon	Shoulder	Shotgun	REF + Shotgun vs. DV	13	Select fire: pump or semi-auto	Blackhand’s
Shotgun	Nomad Shotpistol	Shotgun	4d6	2	1	15	250	1.8	Low	Uncommon	Jacket	Shotgun	REF vs. DV	10	Pistol grip, compact scattergun	Core Rulebook
